MapDist,Boolean Total,Fuzzy Total,Difference
MapDist55,0.7451128325200562,0.7165581084711896,-0.02855472404886661
MapDist56,3.93750661724064,3.009756361284284,-0.9277502559563557
MapDist57,2.4724534382183982,1.8137312763052114,-0.6587221619131869
MapDist58,2.996286182160434,2.949966317312726,-0.04631986484770767
MapDist59,2.283189757384262,2.274098658958499,-0.009091098425763278
MapDist60,1.5601982310473956,1.5596122343026715,-0.0005859967447241488
MapDist61,5.316426337599115,4.301055183144092,-1.015371154455023
MapDist62,4.57732225125705,3.8356381640816464,-0.741684087175404
MapDist63,2.724545629796712,2.685649004051554,-0.038896625745158175
MapDist64,3.5640460254218396,3.5006267377674836,-0.063419287654356
MapDist65,6.047786353372004,6.003710778237276,-0.04407557513472771
MapDist66,2.2560516755401587,1.9278335858168318,-0.3282180897233269
MapDist67,4.500261692930157,4.327635926699599,-0.17262576623055814
MapDist68,2.413378176649366,2.1049571821059754,-0.30842099454339067
MapDist69,1.8001770392525351,1.7891135442425576,-0.011063495009977498
MapDist70,2.642367525630278,1.794934609004938,-0.84743291662534
MapDist71,1.3851495531321114,1.4455657432050313,0.06041619007291987
MapDist72,4.873240829875674,4.869258442575428,-0.003982387300245804
MapDist73,2.9229401442893983,2.918635752460637,-0.0043043918287613
MapDist74,3.272652866771878,2.636946363392605,-0.6357065033792733
MapDist75,3.852283595761525,3.605540986923671,-0.2467426088378537
MapDist76,4.422467981093716,3.6028559876314894,-0.8196119934622264
MapDist77,2.2505873851143843,1.9213688546089398,-0.3292185305054445
MapDist78,1.9826310709205819,1.9721690092530317,-0.010462061667550149
MapDist79,3.627381545550228,2.963637967834204,-0.6637435777160237
MapDist80,1.4022122113370277,0.8036651084927147,-0.598547102844313
MapDist81,2.115337188396532,2.1147365123796997,-0.0006006760168322245
MapDist82,2.2753076976720106,2.1914308741309227,-0.08387682354108783
MapDist83,2.120957083532681,2.093264991284615,-0.027692092248066125
MapDist84,3.097010177469291,3.0330126344161896,-0.06399754305310124
MapDist85,2.8100064847764337,2.719526148318659,-0.09048033645777487
MapDist86,3.3509539690985237,1.7940944883642227,-1.556859480734301
MapDist87,2.1317089670514306,2.0464544257147717,-0.085254541336659
MapDist88,1.1753123768326486,1.1739554974931565,-0.001356879339492023
MapDist89,2.67044445243405,2.239197509703864,-0.43124694273018616
MapDist90,3.9662361493863383,3.9635021843618725,-0.0027339650244657676
