MapDist,Boolean Total,Fuzzy Total,Difference
MapDist1,0.9807646038466353,0.45968507735462,-0.5210795264920154
MapDist2,1.866773304188229,1.2299362660242252,-0.6368370381640038
MapDist3,1.130105234252066,0.2329300412377445,-0.8971751930143216
MapDist4,1.1015796654012422,0.9852087942583224,-0.11637087114291977
MapDist5,1.2750207507764066,0.046793426085162695,-1.2282273246912438
MapDist6,2.406012852519394,1.38928967005471,-1.0167231824646839
MapDist7,0.7201771188593175,0.43990240986728196,-0.2802747089920355
MapDist8,2.85515476865207,1.928082047523306,-0.9270727211287642
MapDist9,2.1820376457084114,0.8577917669568409,-1.3242458787515705
MapDist10,1.65185183647008,1.0310442763976815,-0.6208075600723986
MapDist11,3.299483840291523,1.8279963186536259,-1.471487521637897
MapDist12,0.9334045706468513,0.45276237028998273,-0.4806422003568686
MapDist13,2.292672150416429,1.6607377710950257,-0.6319343793214034
MapDist14,2.6258309475967305,1.426691222292889,-1.1991397253038416
MapDist15,0.726293709957818,0.36166912973069437,-0.3646245802271236
MapDist16,0.570020918423544,0.35608668075450467,-0.2139342376690393
MapDist17,1.9379603288899454,0.9920369273748613,-0.9459234015150841
MapDist18,1.5096606285488492,0.9303191407540361,-0.5793414877948131
MapDist19,2.279439011784956,1.7076512973019722,-0.5717877144829839
MapDist20,0.6870226762961977,0.1358445994159949,-0.5511780768802028
MapDist21,1.844727724371264,1.2306036927486366,-0.6141240316226275
MapDist22,1.025520503425831,0.45766479996615633,-0.5678557034596747
MapDist23,0.34413266379258367,0.32125192217425264,-0.022880741618331035
MapDist24,1.8303513581306938,1.4576185534105428,-0.372732804720151
MapDist25,2.130130041488406,0.7938909739591595,-1.3362390675292464
MapDist26,2.9938296227398427,0.6909052976297806,-2.302924325110062
MapDist27,0.27885762917991586,0.16462761042075438,-0.11423001875916147
MapDist28,2.18920993088728,0.6635413486247297,-1.5256685822625504
MapDist29,1.2355568129678813,0.7074958579928446,-0.5280609549750367
MapDist30,3.1096648833631724,1.5930889378185324,-1.51657594554464
MapDist31,2.998038067829871,2.8978161689611674,-0.10022189886870336
MapDist32,0.9751038168726661,0.9578692370525743,-0.0172345798200918
MapDist33,2.9405297226323412,2.7632823801477766,-0.17724734248456464
MapDist34,1.2747333397548049,0.9636040704599264,-0.3111292692948785
MapDist35,1.7765681008669447,1.3548700853237556,-0.4216980155431891
MapDist36,1.544660441077034,1.4475592332882954,-0.09710120778873854
MapDist37,3.394880069485885,2.3859714446799023,-1.0089086248059829
MapDist38,0.9154175125744335,0.8688716377603825,-0.046545874814051036
MapDist39,2.083555233545165,2.0561714189585647,-0.02738381458660033
MapDist40,4.206570359603939,3.2376086357692717,-0.968961723834667
MapDist41,1.397102115244226,1.310687470240505,-0.08641464500372109
MapDist42,2.1083310209539334,2.0076948491767315,-0.10063617177720197
MapDist43,0.5332874500541015,0.45976605142213545,-0.07352139863196605
MapDist44,2.686015426468968,2.4171945529595096,-0.2688208735094584
MapDist45,0.8536571354355516,0.4717368310853845,-0.38192030435016705
MapDist46,1.6906857801201904,0.8700842756335496,-0.8206015044866408
MapDist47,1.9938188718680627,1.334471407717704,-0.6593474641503587
MapDist48,5.085607704881772,4.977911702129631,-0.10769600275214142
MapDist49,1.2240051773073595,0.8264484260448329,-0.39755675126252654
MapDist50,3.159469845370121,2.2104019905528087,-0.9490678548173124
MapDist51,2.8048787177822714,1.487338838279212,-1.3175398795030593
MapDist52,4.342584967385208,3.9262723343788863,-0.4163126330063216
MapDist53,2.433099301783822,2.1532719467773984,-0.2798273550064234
MapDist54,1.449266459032549,1.4367797531115496,-0.01248670592099943
