MapDist,Boolean Total,Fuzzy Total,Difference
MapDist36,127.09718863902758,126.19086591261478,-0.906322726412796
MapDist37,128.5915257349551,127.24471423865674,-1.3468114962983577
MapDist38,126.37458973901198,125.22597333852423,-1.1486164004877537
MapDist39,127.95323729920297,127.1607773282139,-0.7924599709890714
MapDist40,128.94722592679997,127.7664781375237,-1.1807477892762677
MapDist41,127.3934856074837,126.46756844278157,-0.9259171647021276
MapDist42,130.2632504191518,129.3988833591128,-0.864367060039001
MapDist43,129.12112939401356,127.4690471415147,-1.6520822524988716
MapDist44,130.24336401947087,128.87764115107655,-1.3657228683943288
MapDist45,123.90996559430508,123.28499945319284,-0.6249661411122389
MapDist46,130.04908057268176,128.8365120848283,-1.2125684878534457
MapDist47,127.08192497457406,126.22143636558832,-0.8604886089857473
MapDist48,129.11117863659493,128.21308043105802,-0.8980982055369111
MapDist49,126.52291070581217,125.82317955228797,-0.6997311535241977
MapDist50,124.86449246304404,124.16086223561754,-0.7036302274265012
MapDist51,128.9677477923215,127.9781195436813,-0.9896282486401873
MapDist52,127.88089889759313,127.09763270885364,-0.7832661887394892
MapDist53,127.63044641496387,126.098022014924,-1.5324244000398721
MapDist54,128.9720279584471,128.03935249739322,-0.9326754610538615
MapDist55,129.10680591888524,128.01287925004004,-1.0939266688451994
MapDist56,128.11440571687604,126.96517608320269,-1.1492296336733432
MapDist57,125.95686289853708,125.28607355352528,-0.6707893450117979
MapDist58,127.73365458411388,127.1402616236937,-0.5933929604201751
MapDist59,124.79870436485734,124.16082500865315,-0.6378793562041949
MapDist60,130.1182808177609,129.11063840236403,-1.007642415396873
MapDist61,139.90864282584923,139.45758354153298,-0.4510592843162442
MapDist62,137.64215344026212,137.22799780549894,-0.4141556347631763
MapDist63,139.82885173624368,139.37697964772065,-0.4518720885230323
MapDist64,138.3337425093684,138.02395592180102,-0.3097865875673733
MapDist65,142.31727884420127,141.97879012560986,-0.3384887185914067
MapDist66,138.07869687644433,137.31024797353524,-0.7684489029090855
MapDist67,138.37147817151794,138.25396184053162,-0.11751633098631942
MapDist68,139.39914081044185,138.8046130247016,-0.5945277857402402
